,nombre,enlace,estado,tipo_de_representacion,representacion
296,Macías Olvera Felipe Fernando,curricula.php?dipt=227,Querétaro,Distrito,4
297,Mares Aguilar José Rigoberto,curricula.php?dipt=304,Baja California Sur,Circunscripcion,1
298,Martínez Juárez Jacquelina,curricula.php?dipt=344,Zacatecas,Circunscripcion,2
299,Martínez Terrazas Oscar Daniel,curricula.php?dipt=427,Morelos,Circunscripcion,4
300,Mata Carrasco Mario,curricula.php?dipt=66,Chihuahua,Distrito,5
301,Mata Lozano Lizbeth,curricula.php?dipt=307,Baja California,Circunscripcion,1
302,Mendoza Acevedo Luis Alberto,curricula.php?dipt=30,Ciudad de México,Distrito,15
303,Murillo Chávez Janet Melanie,curricula.php?dipt=83,Guanajuato,Distrito,9
304,Núñez Cerón Sarai,curricula.php?dipt=86,Guanajuato,Distrito,12
305,Ortega Martínez Ma. del Pilar,curricula.php?dipt=80,Guanajuato,Distrito,6
306,Patrón Laviada Cecilia Anunciación,curricula.php?dipt=381,Yucatán,Circunscripcion,3
307,Pérez Díaz Víctor Manuel,curricula.php?dipt=347,Nuevo León,Circunscripcion,2
308,Pérez Rivera Evaristo Lenin,curricula.php?dipt=40,Coahuila,Distrito,1
309,Preciado Rodríguez Jorge Luis,curricula.php?dipt=463,Colima,Circunscripcion,5
310,Ramírez Barba Éctor Jaime,curricula.php?dipt=79,Guanajuato,Distrito,5
311,Riggs Baeza Miguel Alonso,curricula.php?dipt=67,Chihuahua,Distrito,6
312,Rivera Hernández Marcelino,curricula.php?dipt=239,San Luis Potosí,Distrito,7
313,Robledo Leal Ernesto Alfonso,curricula.php?dipt=197,Nuevo León,Distrito,11
314,Rocha Acosta Sonia,curricula.php?dipt=224,Querétaro,Distrito,1
315,Rodríguez Rivera Iván Arturo,curricula.php?dipt=461,México,Circunscripcion,5
316,Rojas Hernández Laura Angélica,curricula.php?dipt=462,México,Circunscripcion,5
317,Romero Herrera Jorge,curricula.php?dipt=421,Ciudad de México,Circunscripcion,4
318,Romero Hicks Juan Carlos,curricula.php?dipt=78,Guanajuato,Distrito,4
319,Romero León Gloria,curricula.php?dipt=466,Hidalgo,Circunscripcion,5
320,Romo Cuéllar Martha Estela,curricula.php?dipt=107,Jalisco,Distrito,2
